Saison	Kalenderwoche	Bundesland	Bundesland_ID	Altersgruppe	ARE_Konsultationsinzidenz
2012/13	2012-W40	Bundesweit	0	00+	968
2012/13	2012-W40	Bundesweit	0	0-4	3858
2012/13	2012-W40	Bundesweit	0	5-14	1372
2012/13	2012-W40	Bundesweit	0	15-34	1211
2012/13	2012-W40	Bundesweit	0	60+	408
2012/13	2012-W40	Bundesweit	0	35-59	798
2012/13	2012-W41	Bundesweit	0	00+	1114
2012/13	2012-W41	Bundesweit	0	0-4	4013
2012/13	2012-W41	Bundesweit	0	5-14	1399
2012/13	2012-W41	Bundesweit	0	15-34	1442
2012/13	2012-W41	Bundesweit	0	60+	469
2012/13	2012-W41	Bundesweit	0	35-59	979
2012/13	2012-W42	Bundesweit	0	00+	1162
2012/13	2012-W42	Bundesweit	0	0-4	4351
2012/13	2012-W42	Bundesweit	0	5-14	1345
2012/13	2012-W42	Bundesweit	0	15-34	1431
2012/13	2012-W42	Bundesweit	0	60+	490
2012/13	2012-W42	Bundesweit	0	35-59	1077
2012/13	2012-W43	Bundesweit	0	00+	1072
2012/13	2012-W43	Bundesweit	0	0-4	3906
2012/13	2012-W43	Bundesweit	0	5-14	1196
2012/13	2012-W43	Bundesweit	0	15-34	1228
2012/13	2012-W43	Bundesweit	0	60+	508
2012/13	2012-W43	Bundesweit	0	35-59	1034
2012/13	2012-W44	Bundesweit	0	00+	886
2012/13	2012-W44	Bundesweit	0	0-4	3705
2012/13	2012-W44	Bundesweit	0	5-14	1118
2012/13	2012-W44	Bundesweit	0	15-34	1032
2012/13	2012-W44	Bundesweit	0	60+	347
2012/13	2012-W44	Bundesweit	0	35-59	811
2012/13	2012-W45	Bundesweit	0	00+	1089
2012/13	2012-W45	Bundesweit	0	0-4	3901
2012/13	2012-W45	Bundesweit	0	5-14	1362
2012/13	2012-W45	Bundesweit	0	15-34	1301
2012/13	2012-W45	Bundesweit	0	60+	474
2012/13	2012-W45	Bundesweit	0	35-59	1019
2012/13	2012-W46	Bundesweit	0	00+	1052
2012/13	2012-W46	Bundesweit	0	0-4	4228
2012/13	2012-W46	Bundesweit	0	5-14	1564
2012/13	2012-W46	Bundesweit	0	15-34	1231
2012/13	2012-W46	Bundesweit	0	60+	444
2012/13	2012-W46	Bundesweit	0	35-59	895
2012/13	2012-W47	Bundesweit	0	00+	1078
2012/13	2012-W47	Bundesweit	0	0-4	4417
2012/13	2012-W47	Bundesweit	0	5-14	1667
2012/13	2012-W47	Bundesweit	0	15-34	1252
2012/13	2012-W47	Bundesweit	0	60+	419
